px py yaw vaim_x vaim_y vset_x vset_y min_dist
-0.943037 -1.54245 0.00256387 0 0 0 -0 0.818028
-0.943048 -1.54245 0.00258289 0 0 0 -0 0.817974
-0.943023 -1.54245 0.00243389 0 0 0 -0 0.817998
-0.94304 -1.54246 0.00258225 0 0 0 -0 0.817998
-0.943059 -1.54245 0.00255915 0 0 0 -0 0.816
-0.943048 -1.54246 0.00250771 0 0 0 -0 0.818002
-0.943047 -1.54246 0.00249251 0 0 0 -0 0.818002
-0.943055 -1.54256 0.00251417 0 0 0 -0 0.818001
-0.943043 -1.54245 0.00252887 0 0 0 -0 0.818
-0.943036 -1.54245 0.002527 0 0 0 -0 0.818
-0.943053 -1.54244 0.00259459 0 0 0 -0 0.818028
-0.943051 -1.54255 0.00252616 0 0 0 -0 0.815971
-0.94304 -1.54256 0.0024481 0 0 0 -0 0.817999
-0.943053 -1.54245 0.00259754 0 0 0 -0 0.817999
-0.943059 -1.54256 0.00247059 0 0 0 -0 0.81603
-0.943032 -1.54256 0.00246399 0 0 0 -0 0.818002
-0.94305 -1.54256 0.00258147 0 0 0 -0 0.818002
-0.94305 -1.54245 0.00256497 0 0 0 -0 0.818
-0.943039 -1.54246 0.00253196 0 0 0 -0 0.817996
-0.943046 -1.54247 0.00256427 0 0 0 -0 0.817996
-0.943049 -1.54246 0.00259973 0 0 0 -0 0.817978
-0.943048 -1.54246 0.00255045 0 0 0 -0 0.818002
-0.943047 -1.54246 0.00254581 0 0 0 -0 0.818002
-0.943056 -1.54245 0.00263738 0 0 0 -0 0.816
-0.943048 -1.54256 0.0024664 0 0 0 -0 0.817996
-0.943044 -1.54256 0.00251686 0 0 0 -0 0.817996
-0.943068 -1.54246 0.00267046 0 0 0 -0 0.816
-0.943058 -1.54245 0.0026087 0 0 0 -0 0.817998
-0.943044 -1.54246 0.00253275 0 0 0 -0 0.817998
-0.943048 -1.54247 0.00262341 0 0 0 -0 0.816002
-0.943055 -1.54245 0.00257264 0 0 0 -0 0.816001
-0.943047 -1.54246 0.00256139 0 0 0 -0 0.818001
-0.943051 -1.54245 0.00260053 0 0 0 -0 0.818001
-0.943061 -1.54245 0.00263062 0 0 0 -0 0.815997
-0.943045 -1.54245 0.00252494 0 0 0 -0 0.815998
-0.943053 -1.54247 0.00257151 0 0 0 -0 0.815998
-0.943049 -1.54246 0.00259338 0 0 0 -0 0.816002
-0.943062 -1.54246 0.0025873 0 0 0 -0 0.816002
-0.943046 -1.54246 0.00256324 0 0 0 -0 0.816002
-0.943055 -1.54246 0.00260979 0 0 0 -0 0.817999
-0.943035 -1.54245 0.00252462 0 0 0 -0 0.816
-0.943059 -1.54244 0.00247522 0 0 0 -0 0.816
-0.94304 -1.54245 0.00252119 0 0 0 -0 0.818
-0.943045 -1.54245 0.00251265 0 0 0 -0 0.817996
-0.943024 -1.54245 0.00246084 0 0 0 -0 0.818002
-0.94305 -1.54246 0.00263004 0 0 0 -0 0.818002
-0.943061 -1.54245 0.00258828 0 0 0 -0 0.816
-0.943045 -1.54245 0.00251499 0 0 0 -0 0.816001
-0.943045 -1.54246 0.0026285 0 0 0 -0 0.816001
-0.943062 -1.54244 0.00262991 0 0 0 -0 0.815998
-0.943038 -1.54244 0.00249629 0 0 0 -0 0.816001
-0.943053 -1.54245 0.00258408 0 0 0 -0 0.816001
-0.943061 -1.54244 0.00261769 0 0 0 -0 0.815997
-0.943053 -1.54256 0.0025162 0 0 0 -0 0.817999
-0.94305 -1.54246 0.00251571 0 0 0 -0 0.817999
-0.943065 -1.54244 0.00259829 1.38318 -0.14039 1.38318 -0.14039 0.816002
-0.943055 -1.54255 0.00244081 1.38321 -0.140064 1.38321 -0.140064 0.81603
-0.943047 -1.54245 0.00251595 1.38322 -0.140025 1.38322 -0.140025 0.815972
-0.943056 -1.54245 0.0026051 1.38316 -0.140616 1.38316 -0.140616 0.815972
-0.94306 -1.54245 0.00253515 1.38316 -0.140445 1.38316 -0.140445 0.818
-0.943034 -1.54245 0.00245507 1.38316 -0.140445 1.38316 -0.140445 0.818001
-0.943051 -1.54246 0.00256965 1.38315 -0.140584 1.38315 -0.140584 0.818001
-0.943043 -1.54244 0.00257192 1.38324 -0.139744 1.38324 -0.139744 0.818025
-0.943045 -1.54245 0.00252325 1.38325 -0.139617 1.38325 -0.139617 0.81797
-0.942837 -1.54258 0.00445463 1.38325 -0.139529 1.38325 -0.139529 0.81797
-0.932838 -1.54373 0.0154124 1.38323 -0.139652 1.38323 -0.139652 0.81803
-0.906581 -1.54582 0.0163257 1.38324 -0.1398 1.38324 -0.1398 0.817972
