state No tNow cmdX cmdY cmdZ cmdYaw realX realY realZ realYaw aimX aimY aimZ aimYaw ubarX ubarY ubarZ uresX uresY uresZ setVx setVy setVz roll pitch yaw SAFE_DS ALPHA_V
51 2 1.05025 0 0 0 -0 1.19832 0.72875 -0.00153414 -0.129113 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0137882 -0.00469477 0.258989 0.3 0.3
51 0 1.10027 0 -0 0 -0 -1.02923 -0.981121 0.0204204 -0.00451077 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00479811 0.0297946 0.00909408 0.3 0.3
51 1 1.10027 0 -0 0 -0 0.641192 1.43426 0.000829032 -0.0535268 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0294294 -0.0042013 0.107055 0.3 0.3
51 2 1.10027 0 -0 0 -0 1.19831 0.728745 -0.00153453 -0.129139 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0136846 -0.00441795 0.259039 0.3 0.3
51 0 1.15027 0 0 0 -0 -1.02915 -0.98114 0.0203947 -0.00406215 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00604262 0.0294696 0.00821429 0.3 0.3
51 1 1.15027 0 0 0 -0 0.641182 1.43423 0.00082989 -0.0535432 0 0 0 0 0 0 0 0 0 0 0 0 0 0.030094 -0.00508641 0.107074 0.3 0.3
51 2 1.15027 0 0 0 -0 1.19831 0.728751 -0.00152783 -0.129125 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0139624 -0.00496718 0.259015 0.3 0.3
51 0 1.20028 0 -0 0 -0 -1.02922 -0.981129 0.020415 -0.00445668 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0050106 0.0292856 0.00898776 0.3 0.3
51 1 1.20028 0 -0 0 -0 0.64119 1.43426 0.000832565 -0.053665 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0295956 -0.00470304 0.107324 0.3 0.3
51 2 1.20028 0 -0 0 -0 1.19831 0.728754 -0.00153787 -0.129068 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0137653 -0.00428364 0.258894 0.3 0.3
51 0 1.25027 0 0 0 -0 -1.02922 -0.981135 0.0204094 -0.00446197 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00518514 0.0293385 0.00900102 0.3 0.3
51 1 1.25027 0 0 0 -0 0.641196 1.43426 0.000828249 -0.0536684 0 0 0 0 0 0 0 0 0 0 0 0 0 0.029742 -0.00452203 0.107333 0.3 0.3
51 2 1.25027 0 0 0 -0 1.19833 0.728752 -0.00153494 -0.129274 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0140264 -0.00496741 0.259316 0.3 0.3
51 0 1.30026 0 -0 0 -0 -1.02922 -0.981131 0.0204082 -0.00448311 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0052817 0.029726 0.00904578 0.3 0.3
51 1 1.30026 0 -0 0 -0 0.641199 1.43425 0.000829653 -0.0535387 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0299014 -0.00479503 0.107069 0.3 0.3
51 2 1.30026 0 -0 0 -0 1.1986 0.728541 -0.0012056 -0.12859 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0283642 -0.026265 0.258316 0.3 0.3
51 0 1.35024 0 0 0 -0 -1.02923 -0.980757 0.0200607 -0.0108234 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.00162392 0.0470563 0.021615 0.3 0.3
51 1 1.35024 0 0 0 -0 0.641189 1.43426 0.000830108 -0.0536653 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0296692 -0.00451498 0.107327 0.3 0.3
51 2 1.35024 0 0 0 -0 1.19859 0.72854 -0.00120616 -0.128627 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0284884 -0.0264652 0.258394 0.3 0.3
51 0 1.40027 0 -0 0 -0 -1.02922 -0.981137 0.0204091 -0.00459343 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00519773 0.0300135 0.00926595 0.3 0.3
51 1 1.40027 0 -0 0 -0 0.641194 1.43426 0.000825728 -0.0535963 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0294922 -0.00447531 0.10719 0.3 0.3
51 2 1.40027 0 -0 0 -0 1.19831 0.728745 -0.00153894 -0.129121 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0136175 -0.00437012 0.259001 0.3 0.3
51 0 1.45025 0 0 0 -0 -1.02922 -0.981133 0.0204108 -0.00451949 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00517749 0.0296368 0.00911677 0.3 0.3
51 1 1.45025 0 0 0 -0 0.641185 1.43424 0.000837521 -0.0535564 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0300693 -0.00526404 0.107097 0.3 0.3
51 2 1.45025 0 0 0 -0 1.19831 0.728745 -0.00153742 -0.129123 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0136113 -0.00442473 0.259006 0.3 0.3
51 0 1.50023 0 -0 0 -0 -1.02922 -0.981131 0.0204011 -0.00439256 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555339 0.0295383 0.00886816 0.3 0.3
51 1 1.50023 0 -0 0 -0 0.641211 1.43426 0.000833023 -0.0533982 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0286956 -0.00290974 0.106817 0.3 0.3
51 2 1.50023 0 -0 0 -0 1.19831 0.728738 -0.00153297 -0.129155 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0138054 -0.00460577 0.259072 0.3 0.3
51 0 1.55019 0 0 0 -0 -1.02922 -0.981127 0.0204092 -0.00453016 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00527712 0.0296392 0.00913959 0.3 0.3
51 1 1.55019 0 0 0 -0 0.641196 1.43426 0.00082333 -0.0536824 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0297262 -0.00476852 0.107358 0.3 0.3
51 2 1.55019 0 0 0 -0 1.19833 0.728744 -0.00154162 -0.129194 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0138125 -0.0044043 0.25915 0.3 0.3
51 0 1.60024 0 -0 0 -0 -1.02915 -0.981142 0.0203918 -0.00417588 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00587473 0.029676 0.00843992 0.3 0.3
51 1 1.60024 0 -0 0 -0 0.641218 1.43427 0.000844872 -0.0536668 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0290032 -0.00349935 0.107346 0.3 0.3
51 2 1.60024 0 -0 0 -0 1.19833 0.728744 -0.00152826 -0.129285 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0140026 -0.00489605 0.259338 0.3 0.3
51 0 1.65027 0 0 0 -0 -1.02916 -0.981138 0.0204038 -0.00423762 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00592933 0.0298209 0.00856465 0.3 0.3
51 1 1.65027 0 0 0 -0 0.641201 1.43425 0.000843489 -0.0537319 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0295261 -0.00458642 0.10746 0.3 0.3
51 2 1.65027 0 0 0 -0 1.19832 0.72875 -0.00153486 -0.129071 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0137925 -0.00455868 0.258903 0.3 0.3
51 0 1.70027 0 -0 0 -0 -1.02924 -0.980756 0.020068 -0.0108091 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0015676 0.0474397 0.0215875 0.3 0.3
51 1 1.70027 0 -0 0 -0 0.641209 1.43427 0.000845395 -0.0536098 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0289014 -0.00364739 0.10723 0.3 0.3
51 2 1.70027 0 -0 0 -0 1.19832 0.72874 -0.00153651 -0.12929 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0139625 -0.00459908 0.259345 0.3 0.3
51 0 1.75023 0 0 0 -0 -1.02922 -0.981126 0.0204023 -0.00453647 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0057246 0.0292453 0.0091577 0.3 0.3
51 1 1.75023 0 0 0 -0 0.641201 1.43426 0.000838978 -0.0536762 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0297804 -0.00455649 0.107348 0.3 0.3
51 2 1.75023 0 0 0 -0 1.19832 0.728745 -0.00153716 -0.129096 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0138372 -0.00455281 0.258953 0.3 0.3
51 0 1.80024 0 -0 0 -0 -1.02923 -0.981132 0.0204153 -0.00444394 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00496634 0.0299086 0.0089632 0.3 0.3
51 1 1.80024 0 -0 0 -0 0.641189 1.43426 0.000830851 -0.0536492 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0297319 -0.00487564 0.10729 0.3 0.3
51 2 1.80024 0 -0 0 -0 1.19831 0.728748 -0.00152927 -0.129044 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0138463 -0.00475638 0.258849 0.3 0.3
52 0 1.85023 60.5497 -59.4452 5000 2.75699 -1.02922 -0.981134 0.0204049 -0.00456327 -1 -1 0.3 0 -0.552883 -0.527051 1.78959 -0.552883 -0.527051 1.78959 0 0 0 0.00506348 0.0301398 0.00920396 0.3 0.3
52 1 1.85023 -65.912 53.4379 5000 31.179 0.641237 1.4342 0.000786792 -0.052046 0.766655 1.23335 0.3 0 0.344925 0.771466 1.91176 0.344925 0.771466 1.91176 0 0 0 0.0275728 -0.000678068 0.10414 0.3 0.3
52 2 1.85023 -73.3343 42.6858 5000 77.2798 1.19859 0.728539 -0.00121852 -0.128569 1.23335 0.766655 0.3 0 0.645748 0.392505 1.92317 0.645748 0.392505 1.92317 0 0 0 -0.0281886 -0.02599 0.258266 0.3 0.3
52 0 1.90028 -61.2508 58.7226 10000 4.47947 -1.02935 -0.980755 0.0198452 -0.0105007 -1 -1 0.325025 0 -0.00801573 0.0022102 0.555006 -0.00801573 0.0022102 0.555006 0 0 0 0.00207429 0.0574834 0.0210701 0.3 0.3
52 1 1.90028 66.0225 -53.3013 10000 11.0348 0.641247 1.43427 0.000823204 -0.0531252 0.766655 1.23335 0.325025 0 0.00364746 0.00908797 0.578787 0.00364746 0.00908797 0.578787 0 0 0 0.0277703 -0.00736041 0.106209 0.3 0.3
52 2 1.90028 73.3613 -42.6394 10000 26.0164 1.19836 0.728631 -0.00172717 -0.129094 1.23335 0.766655 0.325025 0 0.00192223 0.00575732 0.585082 0.00192223 0.00575732 0.585082 0 0 0 -0.00845436 0.00326308 0.258899 0.3 0.3
52 0 1.95023 -2.23918 38.0623 15000 -1.62285 -1.02915 -0.981149 0.0204052 -0.00428251 -1 -1 0.350003 0 0.630963 -0.413334 0.58361 0.630963 -0.413334 0.58361 0 0 0 0.00497236 0.030325 0.00864146 0.3 0.3
